Id;Tipo;Conteudo;Legenda;Shots;Pontos;Outros Players;Categoria
0;Desafio;Dê seu número para um estranho;Se lembre de ligar amanhã;1;3;0;Parque
1;Desafio;Dê um selinho no <jogador_x>;;1;1;1;Trevas
2;Desafio;Deixe <jogador_x> preparar um drink para você;;4;3;1;Padrão
3;Desafio;Chupe o dedão de alguém;;3;3;1;Trevas
4;Desafio;Coloque uma colher de açucar nas suas roupas de baixo;;1;3;0;Trevas
5;Desafio;Deixe alguém esfregar a bunda na sua cara;;3;4;1;Trevas
6;Desafio;Selinho em todos os jogadores;;3;3;0;Trevas
7;Desafio;Retire as meias de alguém usando os dentes;O que é um chulé?;2;4;1;Trevas
8;Desafio;Plante bananeira por 15 segundos;;2;2;0;Parque
9;Desafio;Coloque uma venda e dance no colo de alguém; Você nunca saberá quem é.;3;3;0;Trevas
10;Desafio;Posicione ambas as mãos nos glúteos máximos da pessoa com maior volume nessa região;Aproveite a experiencia;2;2;1;Trevas
11;Desafio;Sorteie três jogadores e escolha um para beijar;Use o botão de sortear;2;2;1;Trevas
12;Desafio;Coma um guardanapo inteiro;É saudável, confia;1;1;0;Padrão
13;Desafio;Conte com que frequência você se masturba;Não precisa ter vergonha;3;3;0;Trevas
14;Desafio;Com qual jogador você transaria?;Juro que é um elogio;2;2;0;Trevas
15;Desafio;Tire uma peça (de roupa);Ta calor;2;2;0;Trevas
16;Desafio;Morda a orelha do <jogador_x>;Delicinha;1;1;1;Padrão
17;Desafio;Deixa alguém gritar alto no seu ouvido;O QUE? EU NÃO OUVI;2;2;0;Padrão
18;Desafio;Tome três colheres de azeite;Quatro se você for extra-virgem;3;3;0;Apê
19;Desafio;Coloque sua bebida em uma camisinha e tome;O gosto fica melhor;1;4;0;Trevas
20;Desafio;De olhos vendados beije de lingua três objetos escolhidos pelos outros jogadores;Vale objetificar o amiguinho?;2;2;0;Padrão
21;Desafio;Faça o <jogador_x> rir;Você tem um minuto;3;3;0;Padrão
22;Desafio;De um beijo de lingua em algum jogador;Só 5 segundos já vale;2;4;1;Trevas
23;Desafio;Conte o que te excita;Ouvi dizer que tem gente interessada nessa roda aqui;2;2;0;Trevas
24;Desafio;Peça para tirar uma foto com uma pessoa estranha;Diga xis;2;2;0;Parque
25;Desafio;Beba 4 vezes;kkkk;4;4;0;Padrão
